name,syntax,example,doc
and,a and b,"if age >= 18 and has_id then\n    print(""allowed"")\nend",Logical AND: true only if both sides are true. Short-circuits -- b isn't evaluated if a is already false.
as,import module as alias,,Gives an imported module a local alias to refer to it by.
base,base(args),class Dog : Animal\n    func Dog(name)\n        base(name)\n    end\nend,"Inside a subclass, calls the superclass's constructor or method with args."
break,break,for n in range(10) then\n    if n == 5 then\n        break\n    end\n    print(n)\nend,Exits the innermost while or for loop immediately.
catch,catch (e)\n    ...|||catch e\n    ...\n,,"Handles an exception raised inside the try block above it, binding it to e. Parentheses around e are optional."
class,class Name\n    ...\nend|||class Name : Base\n    ...\nend,"class Animal\n    func speak()\n        print(""..."")\n    end\nend\n\nclass Dog : Animal\n    func speak()\n        print(""Woof!"")\n    end\nend",Declares a class. : Base is optional and gives it a single superclass.
continue,continue,for n in range(5) then\n    if n == 2 then\n        continue\n    end\n    print(n)\nend,Skips straight to the next iteration of the innermost while or for loop.
elif,if condition then\n    ...\nelif other_condition then\n    ...\nend,"if score >= 90 then\n    print(""A"")\nelif score >= 80 then\n    print(""B"")\nelse\n    print(""C"")\nend","Adds another condition to an if statement, checked only if the ones above it were false. Optional, and there can be more than one."
else,if condition then\n    ...\nelse\n    ...\nend,"if is_raining then\n    print(""bring an umbrella"")\nelse\n    print(""enjoy the sun"")\nend","Runs when none of the if/elif conditions above it were true. Optional, and must be the last clause before end."
end,if / while / for / func / class / try\n    ...\nend,,"Closes the block started by if, while, for, func, class, or try. Every one of those needs a matching end."
finally,try\n    ...\nfinally\n    ...\nend,try\n    open_file()\nfinally\n    close_file()\nend,"Runs after the try block, whether or not an exception was raised or caught."
for,for item in iterable then\n    ...\nend,"for name in [""Ana"", ""Luis"", ""Sol""] then\n    print(name)\nend","Iterates item over iterable (a list, a range(...), etc.), running the block once per element. Needs then before the body, like if."
func,func name(params)\n    ...\nend|||func(params) => expr,"func greet(name)\n    print(""Hello, "" + name)\nend\n\ngreet(""Ava"")","Declares a named function, or -- used as an expression, without a name -- an anonymous one. (params) => expr is the short single-expression form."
if,if condition then\n    ...\nelif other_condition then\n    ...\nelse\n    ...\nend,"if age >= 18 then\n    print(""adult"")\nelse\n    print(""minor"")\nend",Runs the first block whose condition is true. elif and else are optional; the block always closes with end.
import,import module|||import module.submodule|||import module as alias,import utils.math as m\nprint(m.square(4)),"Loads another AvaLang file by module path and makes its top-level names available, optionally under alias."
in,for item in iterable then\n    ...\nend,,Pairs with for to name what's being iterated over.
local,local name = value,x = 10\nfunc change()\n    local x = 20\n    print(x)\nend,"Declares name as a new local variable in the current scope, instead of assigning to an existing outer/global one of the same name."
not,not a,"if not is_valid then\n    print(""invalid"")\nend","Logical negation: true if a is false, and vice versa."
or,a or b,"if is_weekend or is_holiday then\n    print(""no work today"")\nend",Logical OR: true if either side is true. Short-circuits -- b isn't evaluated if a is already true.
pass,pass,if user.is_admin then\n    pass\nend,"Does nothing. Useful as a placeholder body while a block is still empty, since AvaLang has no truly empty block."
raise,raise value,"if amount < 0 then\n    raise ""amount can't be negative""\nend","Raises value as an exception, unwinding until a matching catch handles it (or the program stops if none does)."
return,return|||return value,func double(n)\n    return n * 2\nend,"Exits the current function immediately, optionally handing back value. With no value, the function returns nil."
then,if condition then\n    ...\nend,,"Starts the body of an if or elif clause. Always follows the condition, never stands on its own."
try,try\n    ...\ncatch (e)\n    ...\nfinally\n    ...\nend,"try\n    risky_call()\ncatch (e)\n    print(""Error: "" + str(e))\nend","Runs the block, routing any raised exception to a catch clause. At least one catch or a finally is required."
while,while condition\n    ...\nend|||while (condition)\n    ...\nend,count = 0\nwhile count < 5\n    print(count)\n    count = count + 1\nend,Repeats the block for as long as condition stays true. Parentheses around the condition are optional.
yield,yield|||yield value,func counter()\n    n = 0\n    while true\n        yield n\n        n = n + 1\n    end\nend,"Pauses the current function and hands value back to its caller, turning it into a coroutine/generator that can be resumed later."
