key,value
i18n.test.greeting,Hello from Ava Studio
i18n.test.language_name,English
menu.file,File
menu.file.new_file,New File
menu.file.open,Open...
menu.file.open_folder,Open Folder...
menu.file.save,Save
menu.file.close_tab,Close Tab
menu.file.save_as,Save As...
menu.file.view_code,View Code
menu.file.view_design,View Design
menu.file.preferences,Preferences
menu.file.settings,Settings
menu.file.extensions,Extensions
menu.file.project_properties,Project Properties...
menu.file.exit,Exit
menu.edit,Edit
menu.edit.find_in_project,Find in Project...
menu.edit.format_document,Format Document
menu.view,View
menu.run,Run
menu.run.run_script,Run
menu.run.run_project,Run Project
menu.run.check,Check
menu.run.build,Build Executable...
menu.about,About
about.tagline,AvaLang editor & runtime
about.version_label,Version
about.built_on,Built on the AvaLang core VM
about.created_by,Created by
common.close,Close
plugins.title,Plugins
plugins.installed,Installed plugins
plugins.description,"Enable or disable a plugin found in the plugins/ folder. Changes apply immediately -- no need to restart Ava Studio."
plugins.empty,No plugins found in plugins/.
plugins.not_loaded,(not loaded)
plugins.by,by
panel.explorer.title,Explorer
explorer.new_file,New File
explorer.new_folder,New Folder
explorer.new_file_kind_class,Class (.ava)
explorer.new_file_kind_interface,Interface (.ava)
explorer.new_file_kind_screen,Screen (.avaui)
explorer.create,Create
explorer.open_in_file_manager,Open in File Manager
explorer.rename,Rename
explorer.delete,Delete
explorer.delete_title,Delete?
explorer.delete_folder_confirm,"Delete folder ""%s"" and everything inside it?"
explorer.delete_file_confirm,"Delete ""%s""?"
explorer.delete_undone,This can't be undone.
explorer.folder_not_found,(folder not found: %s)
explorer.project_properties,Properties
common.cancel,Cancel
panel.editor.title,Code Editor
editor.no_file_open,No file open. Use File > Open or double-click a file in Explorer.
editor.welcome.open_project,Open Project...
editor.welcome.hint,Or double-click a file in Explorer to start editing.
editor.tab.welcome,Welcome
editor.tab.untitled,Untitled
editor.hint.builtin,BUILT-IN
editor.hint.function,FUNCTION
editor.hint.class,CLASS
editor.hint.interface,INTERFACE
editor.hint.what_it_does,WHAT IT DOES
editor.hint.keyword,KEYWORD
editor.hint.syntax,HOW TO WRITE IT
editor.hint.syntax_multi,HOW TO WRITE IT (multiple valid forms)
editor.hint.option_n,Option %s
editor.hint.example,EXAMPLE
editor.hint.defined_in,Defined in %s
editor.hint.builtin_overridable_note,Comes with AvaLang. You can define your own func %s(...) to override it.
editor.context.goto_definition,Go to Definition
editor.context.cut,Cut
editor.context.copy,Copy
editor.context.paste,Paste
editor.context.select_all,Select All
editor.avaui.read_error,"Could not read %s: %s"
editor.avaui.blank_page_note,Showing a blank page -- saving will overwrite the original file.
editor.avaui.parse_error,"Could not parse %s: %s"
editor.avaui.fix_syntax_hint,Fix the syntax and try F7 again to go back to Design.
editor.unsaved.title,Unsaved Changes
editor.unsaved.message,Do you want to save the changes you made to %s?
editor.unsaved.warning,Your changes will be lost if you don't save them.
editor.unsaved.dont_save,Don't Save
editor.error_at_line,"Line %s: "
canvas.drop_hint,Drag a control here
canvas.dialogs_label,Dialogs (non-visual):
canvas.extract_component,Extract Component
canvas.delete_title,Delete node?
canvas.delete_confirm,"Delete ""%s"" and everything inside it?"
canvas.render_error,"Render error: %s"
canvas.render_error_hint,Could not rebuild the real layout -- check the tree/import.
canvas.missing_layout_nodes,"%s node(s) with no layout -- not drawn this frame."
canvas.reset_view,Reset view
canvas.zoom_fit,Fit
canvas.zoom_render_limitation,"Zoom changes the canvas model but does not yet scale rendering -- known limitation, not a bug."
canvas.mode_design,Design
canvas.mode_preview,Preview
canvas.visual_state.default,State: Default
canvas.visual_state.hover,State: Hover
canvas.visual_state.focus,State: Focus
canvas.visual_state.active,State: Active
canvas.visual_state.disabled,State: Disabled
canvas.visual_state.limitation,"Only button/link get a visible effect from this, and only outside the live-render path. Other types show no change -- known limitation, not a bug."
panel.toolbox.title,Toolbox
panel.document_tree.title,Document Tree
panel.document_tree.no_document,No design document open.
panel.theme_tokens.title,Theme Tokens
panel.theme_tokens.unavailable,Theme unavailable for this project.
panel.theme_tokens.colors,Colors
panel.theme_tokens.fonts,Fonts
